Round,Winner,Time_Elapsed,Tagger_Win_Rate,Evader_Win_Rate,Avg_Distance,Avg_Time_To_Tag
1542,tagger,21.4500000000001,77.2373540856031,22.7626459143969,8.02968226649358,20.0739854464037
1543,tagger,23.35,77.252106286455,22.747893713545,8.02853551941112,20.0767337807608
1544,tagger,21.1833333333334,77.2668393782383,22.7331606217617,8.0277357263,20.0776613579214
1545,tagger,20.2333333333335,77.2815533980583,22.7184466019417,8.02721629928133,20.0777917364602
1546,tagger,16.3333333333337,77.2962483829237,22.7037516170763,8.02723767707704,20.074658298466
1547,tagger,22.25,77.3109243697479,22.6890756302521,8.02620607020923,20.0764771460425
1548,tagger,17.7666666666669,77.3255813953488,22.6744186046512,8.02602169801898,20.0745474798108
1549,tagger,17.4333333333336,77.3402194964493,22.6597805035507,8.02586283497078,20.072342793545
1550,tagger,17.4500000000003,77.3548387096774,22.6451612903226,8.02573173338645,20.0701556852935
1551,tagger,17.8666666666669,77.3694390715667,22.6305609284333,8.02545609194921,20.0683194444446
1552,tagger,15.666666666667,77.3840206185567,22.6159793814433,8.0255166970623,20.0646544546213
1553,tagger,16.366666666667,77.3985833869929,22.6014166130071,8.02549066165126,20.0615779256796
1554,tagger,15.5833333333337,77.4131274131274,22.5868725868726,8.02554565115149,20.0578553615962
1555,tagger,16.3500000000004,77.427652733119,22.572347266881,8.02549765612345,20.0547757475085
1556,tagger,18.5000000000002,77.4421593830334,22.5578406169666,8.02511825787027,20.0534854771786
1557,tagger,16.8000000000003,77.4566473988439,22.5433526011561,8.02503843507083,20.0507877280267
1558,tagger,27.7999999999997,77.4711168164313,22.5288831835687,8.02312191414538,20.0572079536041
1559,tagger,23.8333333333333,77.4855676715843,22.5144323284157,8.02191958195508,20.0603338852099
1560,evader,45.0166666666654,77.4358974358974,22.5641025641026,8.01731499737472,20.0603338852099
1561,tagger,24.6499999999999,77.4503523382447,22.5496476617553,8.01592877102928,20.064130135098
1562,evader,45.0166666666654,77.4007682458387,22.5992317541613,8.01122699508022,20.064130135098
1563,evader,45.0166666666654,77.3512476007678,22.6487523992322,8.00673958467524,20.064130135098
1564,tagger,43.7666666666655,77.3657289002558,22.6342710997442,8.00245140831193,20.0837190082646
1565,tagger,18.2166666666669,77.3801916932907,22.6198083067093,8.00215754651441,20.0821772639693
1566,tagger,16.7000000000003,77.3946360153257,22.6053639846743,8.00212367013708,20.079386688669
1567,tagger,15.866666666667,77.409061901723,22.590938098277,8.00218798598497,20.0759137125585
1568,tagger,18.0000000000003,77.4234693877551,22.5765306122449,8.00176034479217,20.0742037342121
1569,tagger,23.4999999999999,77.4378585086042,22.5621414913958,8.00051048205352,20.0770233196161
1570,evader,45.0166666666654,77.3885350318471,22.6114649681529,7.99589335326423,20.0770233196161
1571,tagger,21.0833333333334,77.4029280712922,22.5970719287078,7.99507031593486,20.0778508771931
1572,tagger,23.7666666666666,77.4173027989822,22.5826972010178,7.99371760091103,20.0808819501508
1573,tagger,15.2500000000003,77.4316592498411,22.5683407501589,7.99373654643637,20.0769157088124
1574,tagger,16.3500000000004,77.4459974587039,22.5540025412961,7.99368744272101,20.0738583538421
1575,tagger,16.266666666667,77.4603174603175,22.5396825396825,7.99364367835446,20.0707377049182
1576,tagger,15.166666666667,77.4746192893401,22.5253807106599,7.99376653364196,20.0667212667214
1577,tagger,15.4500000000003,77.4889029803424,22.5110970196576,7.99383453345811,20.0629432624115
1578,tagger,15.8000000000004,77.5031685678074,22.4968314321927,7.99384828283714,20.0594576178797
1579,tagger,15.816666666667,77.5174160861305,22.4825839138695,7.99394361492397,20.0559912854032
1580,tagger,16.6500000000003,77.5316455696203,22.4683544303797,7.99383550901538,20.0532108843539
1581,tagger,17.7166666666669,77.5458570524984,22.4541429475016,7.99358006103732,20.0513050570964
1582,tagger,16.716666666667,77.5600505689001,22.4399494310999,7.99348057469667,20.0485873403968
1583,tagger,18.6500000000002,77.5742261528743,22.4257738471257,7.99305637105591,20.0474484256245
1584,tagger,23.6166666666666,77.5883838383838,22.4116161616162,7.99181002052881,20.0503525901819
1585,tagger,16.6833333333337,77.602523659306,22.397476340694,7.99158757674989,20.0476151761519
1586,tagger,18.5333333333336,77.6166456494325,22.3833543505675,7.99113508339133,20.0463850528028
1587,tagger,40.7666666666656,77.6307498424701,22.3692501575299,7.99109538443536,20.0632034632036
1588,tagger,32.7166666666661,77.6448362720403,22.3551637279597,7.98832571991315,20.0734658015681
1589,tagger,21.3333333333334,77.6589049716803,22.3410950283197,7.98785873506279,20.0744867639116
